question,category,quantity,value,unit,comparison,scope,source,interpretation
Q23_tail,numerical_time,moisture,7.158497128401109e-10,kg_water_per_kg_dry,halve effective max_step at fixed mesh,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,observed_difference_not_bound
Q23_tail,format_rounding,moisture,1373,cells,four-decimal values changed by mesh refinement,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,format_stability_count_not_error_magnitude
Q4,numerical_space,temperature,1.8840302260514363e-06,degC,1280 vs 2560 cells,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,q4_convergence,observed_difference_not_bound
Q4,numerical_time,temperature,8.931635875342181e-09,degC,halve effective max_step at fixed mesh,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,q4_convergence,observed_difference_not_bound
Q4,format_rounding,temperature,16,cells,four-decimal values changed by mesh refinement,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,q4_convergence,format_stability_count_not_error_magnitude
Q4,numerical_space,moisture,4.188031590413033e-06,kg_water_per_kg_dry,1280 vs 2560 cells,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,q4_convergence,observed_difference_not_bound
Q4,numerical_time,moisture,5.010364900748243e-10,kg_water_per_kg_dry,halve effective max_step at fixed mesh,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,q4_convergence,observed_difference_not_bound
Q4,format_rounding,moisture,32,cells,four-decimal values changed by mesh refinement,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,q4_convergence,format_stability_count_not_error_magnitude
Q1,independent_implementation,temperature,1.8010994615735854e-06,degC,primary FVM vs independent nodal FEM/BDF2,10 saved times; 2561-node dense profiles,q1_nonlinear_independent,observed_difference_not_bound
Q1,independent_implementation,moisture,1.3209420934856553e-06,kg_water_per_kg_dry,primary FVM vs independent nodal FEM/BDF2,10 saved times; 2561-node dense profiles,q1_nonlinear_independent,observed_difference_not_bound
Q2_front,independent_implementation,temperature,9.160972652466626e-06,degC,primary FVM vs independent nodal FEM/BDF2,six paper times; 1281-node dense profiles,q2_independent_verification,observed_difference_not_bound
Q2_front,independent_implementation,moisture,3.2218110317394633e-06,kg_water_per_kg_dry,primary FVM vs independent nodal FEM/BDF2,six paper times; 1281-node dense profiles,q2_independent_verification,observed_difference_not_bound
Q23_tail,independent_implementation,temperature,3.0281105267704334e-05,degC,primary FVM vs independent nodal FEM/BDF2,common saved time profiles; independent 2560-element trajectory,q3_independent_verification,observed_difference_not_bound
Q23_tail,independent_implementation,moisture,3.308300025040012e-07,kg_water_per_kg_dry,primary FVM vs independent nodal FEM/BDF2,common saved time profiles; independent 2560-element trajectory,q3_independent_verification,observed_difference_not_bound
Q4,independent_implementation,temperature,1.0932346249603597e-05,degC,primary FVM vs independent nodal FEM/BDF2,listed common times/physical radii including early boundary layer,q4_independent_verification,observed_difference_not_bound
Q4,independent_implementation,moisture,6.030320506056341e-06,kg_water_per_kg_dry,primary FVM vs independent nodal FEM/BDF2,listed common times/physical radii including early boundary layer,q4_independent_verification,observed_difference_not_bound
Q1,independent_analytic,temperature,1.285251038041224e-06,degC,primary vs 512 Fourier-Bessel modes,"0-1800 s; 21 radii, every second unless stated",q1_diagnostics,observed_difference_not_bound
Q1,output_reconstruction,temperature,1.5677263220936766e-06,degC,PCHIP vs piecewise linear,"0-1800 s; 21 radii, every second unless stated",q1_diagnostics,observed_difference_not_bound
Q4,output_reconstruction,temperature,2.8270979015587727e-06,degC,PCHIP vs piecewise linear,"saved profiles, not every internal solver time",q4_diagnostics,observed_difference_not_bound
Q2_front,output_reconstruction,temperature,1.6304770156239101e-06,degC,PCHIP vs piecewise linear,saved internal profiles and 21 output radii; not every exported second,endface_diagnostics,observed_difference_not_bound
Q23_tail,output_reconstruction,temperature,5.7346809967384615e-08,degC,PCHIP vs piecewise linear,saved internal profiles and 21 output radii; not every exported second,endface_diagnostics,observed_difference_not_bound
Q1,spatial_flux_variant,temperature,4.38291891668996e-09,degC,harmonic vs Kirchhoff interior-face flux,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,observed_difference_not_bound
Q1,output_reconstruction,moisture,9.070851940684577e-07,kg_water_per_kg_dry,PCHIP vs piecewise linear,"0-1800 s; 21 radii, every second unless stated",q1_diagnostics,observed_difference_not_bound
Q4,output_reconstruction,moisture,4.085043757484641e-06,kg_water_per_kg_dry,PCHIP vs piecewise linear,"saved profiles, not every internal solver time",q4_diagnostics,observed_difference_not_bound
Q2_front,output_reconstruction,moisture,7.819986600487994e-07,kg_water_per_kg_dry,PCHIP vs piecewise linear,saved internal profiles and 21 output radii; not every exported second,endface_diagnostics,observed_difference_not_bound
Q23_tail,output_reconstruction,moisture,3.9329660395104327e-07,kg_water_per_kg_dry,PCHIP vs piecewise linear,saved internal profiles and 21 output radii; not every exported second,endface_diagnostics,observed_difference_not_bound
Q1,spatial_flux_variant,moisture,1.0187576293674283e-07,kg_water_per_kg_dry,harmonic vs Kirchhoff interior-face flux,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,observed_difference_not_bound
Q1,balance_residual,moisture,1.0554247018829449e-10,normalized,trajectory quadrature of model boundary flux/corrected heat,"0-1800 s; 21 radii, every second unless stated",q1_diagnostics,balance_residual_not_solution_error
Q1,balance_residual,temperature,4.8267975475110603e-11,normalized,trajectory quadrature of model boundary flux/corrected heat,"0-1800 s; 21 radii, every second unless stated",q1_diagnostics,balance_residual_not_solution_error
Q2_front,balance_residual,moisture,3.870577061474358e-11,normalized,trajectory quadrature of model boundary flux/corrected heat,"0-10800 s; 21 radii, every second unless stated",q2_convergence,balance_residual_not_solution_error
Q2_front,balance_residual,effective_heat,3.9198627248099635e-10,normalized,trajectory quadrature of model boundary flux/corrected heat,"0-10800 s; 21 radii, every second unless stated",q2_convergence,balance_residual_not_solution_error
Q23_tail,balance_residual,moisture,6.488291385646032e-10,normalized,trajectory quadrature of model boundary flux/corrected heat,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,balance_residual_not_solution_error
Q23_tail,balance_residual,effective_heat,6.808702066402789e-10,normalized,trajectory quadrature of model boundary flux/corrected heat,"10800 s to common pre-event times; 21 radii, every second unless stated",q3_convergence,balance_residual_not_solution_error
Q4,balance_residual,moisture,2.480431546433358e-10,normalized,moving material balance with variable-capacity correction,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,results/cache/q4/q4_final.json,balance_residual_not_solution_error
Q23_full,balance_segment_triangle_envelope,moisture,6.875349091793468e-10,normalized,front max residual plus tail max residual,triangle envelope over recorded segment checks,q2_convergence + q3_convergence,bound_on_recorded_balance_residual_only_not_solution_error
Q4,balance_residual,effective_heat,5.438749483787545e-10,normalized,moving material balance with variable-capacity correction,common 60 s times plus diagnostic 0/1/10 s; valid fixed radii and true surface,results/cache/q4/q4_final.json,balance_residual_not_solution_error
Q23_full,balance_segment_triangle_envelope,effective_heat,1.0728564791212753e-09,normalized,front max residual plus tail max residual,triangle envelope over recorded segment checks,q2_convergence + q3_convergence,bound_on_recorded_balance_residual_only_not_solution_error
Q3,numerical_space,critical_time,0.07595581284840591,s,1280 vs 2560,global-max threshold event,q3_error_budget,observed_difference_not_bound
Q3,numerical_time,critical_time,0.0007548579596914351,s,max_step 30 vs 15 s,global-max threshold event,q3_error_budget,observed_difference_not_bound
Q3,independent_implementation,critical_time,0.002098824450513348,s,fine independent vs primary,global-max threshold event,q3_error_budget,observed_difference_not_bound
Q3,asymptotic_estimate,critical_time,0.10127441713120788,s,assuming second order,global-max threshold event,q3_error_budget,observed_difference_not_bound
Q3,event_conditioning,slope,-2.912764898027609e-07,kg_per_kg_per_s,local slope near stable maximizer,threshold neighborhood,q3_error_budget,observed_difference_not_bound
Q3,event_conditioning,time_equivalent_of_C_5e-5,171.65820706593146,s,delta_t approx delta_C / abs(slope),not an observed event error,q3_error_budget,observed_difference_not_bound
Q4,numerical_space,critical_time,0.057965369895100594,s,1280 vs 2560,global-max threshold event,q4_diagnostics,observed_difference_not_bound
Q4,numerical_time,critical_time,0.00046168064000084996,s,max_step 30 vs 15 s,global-max threshold event,q4_diagnostics,observed_difference_not_bound
Q4,independent_implementation,critical_time,0.0006692806491628289,s,fine independent vs primary,global-max threshold event,q4_diagnostics,observed_difference_not_bound
Q4,asymptotic_estimate,critical_time,0.07728715986013412,s,assuming second order,global-max threshold event,q4_diagnostics,observed_difference_not_bound
Q4,event_conditioning,slope,-5.13484805231279e-07,kg_per_kg_per_s,local slope near stable maximizer,threshold neighborhood,q4_diagnostics,observed_difference_not_bound
Q4,event_conditioning,time_equivalent_of_C_5e-5,97.3738647971861,s,delta_t approx delta_C / abs(slope),not an observed event error,q4_diagnostics,observed_difference_not_bound
Q3,root_residual,max_C_minus_threshold,0.0,kg_water_per_kg_dry,g on numerical event state,not discretization or model accuracy,q3_convergence,floating_point_root_residual_not_total_error
Q3,discrete_execution_time,first_verified_strict_integer_second,206907.0,s,ceil critical time then explicitly verify max_C < 0.15,selected numerical model,q3_convergence,verified_integer_time_not_confidence_bound
Q4,root_residual,max_C_minus_threshold,-2.7755575615628914e-17,kg_water_per_kg_dry,g on numerical event state,not discretization or model accuracy,results/cache/q4/q4_final.json,floating_point_root_residual_not_total_error
Q4,discrete_execution_time,first_verified_strict_integer_second,183932.0,s,ceil critical time then explicitly verify max_C < 0.15,selected numerical model,results/cache/q4/q4_final.json,verified_integer_time_not_confidence_bound
Q1,model_parameter_or_boundary,temperature,0.37676293356763324,degC,h_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.0,kg_water_per_kg_dry,h_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.330060988184556,degC,h_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.0,kg_water_per_kg_dry,h_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.0,degC,hm_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.07411073309500193,kg_water_per_kg_dry,hm_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.0,degC,hm_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.06934254013173358,kg_water_per_kg_dry,hm_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.0,degC,D_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.03504117454224209,kg_water_per_kg_dry,D_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.0,degC,D_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.031081900726911416,kg_water_per_kg_dry,D_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.0,degC,beta_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.0012918984211380824,kg_water_per_kg_dry,beta_multiplier=0.9,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,temperature,0.0,degC,beta_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q1,model_parameter_or_boundary,moisture,0.0012915940982594076,kg_water_per_kg_dry,beta_multiplier=1.1,"0-1800 s; 21 radii, every second unless stated",q1_time_and_sensitivity,conditional_max_field_difference_not_confidence_interval
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.79870347327713,degC,q2_h_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.92660126117246,degC,q2_h_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.7707222764321877,kg_water_per_kg_dry,q2_h_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.0088839656681718,kg_water_per_kg_dry,q2_h_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.3847451812925446,kg_water_per_kg_dry,q2_h_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.883576532547345,degC,q2_h_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.99356896930077,degC,q2_h_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.7625580239615468,kg_water_per_kg_dry,q2_h_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.007400381355593,kg_water_per_kg_dry,q2_h_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.3806996870421657,kg_water_per_kg_dry,q2_h_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.843575369335376,degC,q2_hm_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.96153889156632,degC,q2_hm_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.8096291981059291,kg_water_per_kg_dry,q2_hm_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.0877811316179673,kg_water_per_kg_dry,q2_hm_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.4437632579920088,kg_water_per_kg_dry,q2_hm_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.85476194812372,degC,q2_hm_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.97079072813317,degC,q2_hm_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.727165643818598,kg_water_per_kg_dry,q2_hm_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,0.93713935077638,kg_water_per_kg_dry,q2_hm_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.3280245021503676,kg_water_per_kg_dry,q2_hm_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.84638143362536,degC,q2_D_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.96463289357876,degC,q2_D_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.8255463667082543,kg_water_per_kg_dry,q2_D_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,0.992878314988126,kg_water_per_kg_dry,q2_D_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.4040768381410913,kg_water_per_kg_dry,q2_D_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.85221359626407,degC,q2_D_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.967976866644676,degC,q2_D_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.715082484853389,kg_water_per_kg_dry,q2_D_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.0205254358792968,kg_water_per_kg_dry,q2_D_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.3637990199629515,kg_water_per_kg_dry,q2_D_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.84965636095164,degC,q2_beta_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.966558522727304,degC,q2_beta_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.7649959800031676,kg_water_per_kg_dry,q2_beta_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.0050806423921137,kg_water_per_kg_dry,q2_beta_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.3804877198376508,kg_water_per_kg_dry,q2_beta_multiplier_0.9,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.84933446232865,degC,q2_beta_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.96626727006617,degC,q2_beta_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.7673595520397178,kg_water_per_kg_dry,q2_beta_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.0111641073567514,kg_water_per_kg_dry,q2_beta_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.3845671764260892,kg_water_per_kg_dry,q2_beta_multiplier_1.1,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.83056681265859,degC,q2_freeze_D_temperature,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.956492301235386,degC,q2_freeze_D_temperature,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,2.193334530097651,kg_water_per_kg_dry,q2_freeze_D_temperature,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,0.816942706033637,kg_water_per_kg_dry,q2_freeze_D_temperature,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.5271591192022869,kg_water_per_kg_dry,q2_freeze_D_temperature,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_centre_3h,49.73513895509272,degC,q2_freeze_thermal_moisture,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,temperature_surface_3h,49.87693436665063,degC,q2_freeze_thermal_moisture,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_centre_3h,1.771014999874378,kg_water_per_kg_dry,q2_freeze_thermal_moisture,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_surface_3h,1.0080177844582814,kg_water_per_kg_dry,q2_freeze_thermal_moisture,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q2_front,model_parameter_or_boundary,moisture_mean_3h,1.384423296517356,kg_water_per_kg_dry,q2_freeze_thermal_moisture,state at 10800 s,q2_sensitivity,conditional_absolute_scenario_value_not_error
Q3,model_parameter_or_boundary,critical_time,31.46159648898174,s,q3_h_multiplier_0.9,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,-25.635218021343462,s,q3_h_multiplier_1.1,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,2649.0285981642664,s,q3_hm_multiplier_0.9,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,-2078.3658455489203,s,q3_hm_multiplier_1.1,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,20369.39154740682,s,q3_D_multiplier_0.9,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,-16586.73985912287,s,q3_D_multiplier_1.1,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,-366.93231953529175,s,q3_beta_multiplier_0.9,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,435.08981776129804,s,q3_beta_multiplier_1.1,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,257458.28721963076,s,q3_freeze_D_temperature,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,29.765599257138092,s,q3_freeze_thermal_moisture,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,-1096.6310464547132,s,q3_last_observation,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q3,model_parameter_or_boundary,critical_time,-39.05715709659853,s,q3_mean_9000_14400,one-factor/frozen-feedback scenarios,q3_error_budget,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,28.897142164612887,s,q4_h_multiplier_0.9,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-23.440557910565985,s,q4_h_multiplier_1.1,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,1048.1538878149586,s,q4_hm_multiplier_0.9,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
Q4,model_parameter_or_boundary,critical_time,-795.0727234315709,s,q4_hm_multiplier_1.1,one-factor/geometry interpolation/environment scenarios,q4_sensitivity,conditional_scenario_not_confidence_interval
